13,add,android,app,appc,appcelerator,build,code,com,core,debug,devic,eclipse,error,expect,file,github,http,hyperloop,internal,io,issu,java,js,lang,launch,library,main,method,mocha,node,org,os,png,result,run,sdk,shown,studio,support,test,ti,titanium,ui,use,users,var,view,warn,window,issue_key,story_point
0.0,0.03253999892938243,0.06507999785876487,0.0,0.0,0.0,0.0,0.04550418145497692,0.04892172293434116,0.15158473759921592,0.31772499686733,0.0,0.4669243878229462,0.05443229121209826,0.0,0.03137345300370725,0.0,0.0,0.0,0.3529528306826099,0.026105235736134894,0.02844419949267313,0.48360255147620557,0.0,0.08004255104365283,0.0,0.0,0.0,0.0,0.0,0.0,0.41451647269389047,0.0,0.0,0.03194213805961456,0.13231950964472838,0.0,0.12776855223845823,0.030313110378188412,0.0,0.0,0.02981704693759212,0.050838813327035666,0.21467164986885284,0.0,0.0,0.0,0.14439778182909072,0.0,0.0,TISTUD-9170,8
0.0,0.0,0.0,0.46401486299038325,0.0,0.0,0.08282728553562255,0.0,0.0,0.0,0.5616497095129109,0.19191076788442768,0.0,0.0,0.08282728553562255,0.34860299286047863,0.0,0.0,0.0,0.0,0.36258215289012014,0.07901372118248083,0.0,0.10027884662171095,0.0,0.31580975398699024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17746094006019122,0.0,0.1052699179956634,0.0,0.08420527539236625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TISTUD-9166,8
0.0,0.0,0.0,0.005167836368392694,0.0,0.04150485821971525,0.0,0.009854509405768748,0.03178386447495249,0.2544139264516508,0.0,0.0,0.4971655476542401,0.029470012896391624,0.0,0.0,0.0,0.005653420913770005,0.0,0.3210329883952033,0.0,0.0,0.6134202406762609,0.0,0.0866711637151239,0.024620702559837174,0.0,0.050559208236024424,0.024014571883236944,0.0,0.0,0.43388260925881866,0.007817794176865057,0.0,0.0,0.045848757126668624,0.0,0.006917476369952542,0.013129379401562315,0.0,0.0,0.0,0.03302937541718595,0.04067864225879814,0.004604578095951811,0.018460749287906548,0.0,0.0,0.0,0.0,TISTUD-9129,8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6716128925855187,0.0,0.3871013887714578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2227065262586571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5911771650579236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TISTUD-9099,5
0.0,0.0,0.0,0.0,0.0,0.0,0.1804719263823956,0.4819859518596464,0.0,0.0,0.0,0.0,0.0,0.82364800184738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08608128577575407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19333434328545887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10924851942323727,0.0,0.0,TISTUD-9087,8
0.0,0.0,0.0,0.014769016250396796,0.0,0.0395385277848262,0.0,0.028162929159994503,0.03027807496653776,0.14072564620133893,0.0,0.0,0.5298031170086569,0.016844306527514178,0.0,0.0,0.0,0.0,0.0,0.17475643335624386,0.0,0.0,0.5986115545136281,0.0,0.04953902306885881,0.09381709746755927,0.0,0.14449175918417917,0.06863057904833754,0.0,0.0,0.4703376499749936,0.0,0.0,0.0,0.11465115513429291,0.0,0.0593077916772393,0.09380522326774458,0.0,0.0,0.0,0.03146457869424862,0.14946989614865824,0.0,0.0,0.0,0.0,0.0,0.0,TISTUD-9036,8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.312689130081753,0.7653393278679952,0.0,0.0,0.0,0.0,0.5251371589874834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20177260814549788,TISTUD-9029,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6865593942379362,0.0,0.0,0.0,0.0,0.0,0.5765116454032385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4430242892868164,TISTUD-9016,8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5945711093161875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3106803528227481,0.0,0.0,0.45550917939073565,0.0,0.549803167143927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20047638071787094,TISTUD-8997,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20548540165900925,0.0,0.0,0.2608665302270112,0.0,0.35141878653912584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7706809665486232,0.31197529971341337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273772715492486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TISTUD-8984,5
