Issue key,previous_story_point,estimated_test_score,Number of developers,Number of comments
THORN-1586,5.0,7.5,0,1
THORN-1529,5.0,3.45,1,4
THORN-1502,5.0,3.6234237046421,0,0
THORN-1487,5.0,3.95,0,2
RHPAM-2724,1.0,2.825,1,1
RHPAM-1967,3.0,4.95,1,1
RHPAM-1541,5.0,3.1283333333333334,1,3
RHPAM-1061,0.0,3.6234237046421,1,9
RHDM-1385,13.0,3.25,1,0
RHDM-1232,3.0,3.6234237046421,1,0
RHDM-1145,2.0,1.711666666666667,1,5
RHDM-1144,3.0,1.711666666666667,1,2
RHDM-978,3.0,3.6234237046421,1,6
RHDM-969,3.0,3.5308281864652,1,6
RHDM-840,2.0,3.6234237046421,1,13
RHDM-740,8.0,3.2783333333333333,0,10
RHDM-725,5.0,3.8833333333333337,1,2
RHDEVDOCS-1368,2.0,4.054892884892885,1,1
RHDEVDOCS-1367,1.0,2.407142857142857,1,1
RHDEVDOCS-1355,3.0,2.814285714285714,1,1
RHDEVDOCS-1353,3.0,2.5,1,1
RHDEVDOCS-1309,1.0,1.1109149247546484,1,1
RHDEVDOCS-1078,1.0,3.5308281864652,1,1
RHDEVDOCS-1038,3.0,3.6234237046421,1,6
RHDEVDOCS-1037,3.0,3.6234237046421,1,2
RHDEVDOCS-954,1.0,2.3318722943722947,1,1
RHDEVDOCS-946,1.0,2.0,1,2
RHDEVDOCS-914,1.0,2.0,1,2
RHDEVDOCS-879,1.0,4.429015153005563,1,0
RHDEVDOCS-820,1.0,1.85,1,1
RHDEVDOCS-797,3.0,2.75,1,4
RHDEVDOCS-539,1.0,2.5,1,3
RHDEVDOCS-386,1.0,2.35,1,3
RHDEVDOCS-353,3.0,3.9012244897959176,1,5
RHDEVDOCS-321,1.0,2.85,1,1
RHDEVDOCS-318,1.0,3.586666666666667,1,2
RHDEVDOCS-300,3.0,4.054892884892885,1,1
RHDEVDOCS-299,1.0,3.6234237046421,1,1
RHDEVDOCS-296,3.0,2.0166666666666666,1,2
RHDEVDOCS-285,1.0,3.6234237046421,1,2
RHDEVDOCS-274,3.0,1.56,1,2
RHDEVDOCS-219,1.0,3.057301587301587,1,2
RHDEVDOCS-215,1.0,3.15,1,1
RHDEVDOCS-193,1.0,1.8033333333333328,1,5
RHDEVDOCS-190,3.0,4.429015153005563,1,2
RHDEVDOCS-187,1.0,3.6234237046421,1,4
RHDEVDOCS-172,5.0,3.6234237046421,1,1
RAINCATCH-1253,8.0,5.8663541666666665,1,1
RAINCATCH-1244,3.0,3.6234237046421,0,2
RAINCATCH-1180,3.0,3.6234237046421,1,3
RAINCATCH-1176,5.0,4.429015153005563,1,1
RAINCATCH-1169,5.0,5.35,1,0
RAINCATCH-1051,3.0,3.85,1,3
RAINCATCH-1024,8.0,4.827770354439116,1,8
